Game_Index,Home_Team,URL,HT_Pts,Opp_Pts,FG,FGA,FG_Pct,Three_Pt,Three_Pt_Attempts,Three_Pt_Pct,Free_Throws,Free_Throw_Attempts,Free_Throw_Pct,Offensive_Rebounds,Total_Rebounds,Assists,Steals,Blocks,Turnovers,Personal_Fouls,FG_Opp,FGA_Opp,FG_Pct_Opp,Three_Pt_Opp,Three_Pt_Attempts_Opp,Three_Pt_Pct_Opp,Free_Throws_Opp,Free_Throw_Attempts_Opp,Free_Throw_Pct_Opp,Offensive_Rebounds_Opp,Total_Rebounds_Opp,Assists_Opp,Steals_Opp,Blocks_Opp,Turnovers_Opp,Personal_Fouls_Opp,Result
136,alabama-state,akron,54,86,18,55,0.327,7,23,0.304,11,15,0.733,10,20,11,4,0,15,16,34,60,0.567,12,32,0.375,6,13,0.462,11,36,20,6,6,16,17,L
146,alabama-state,alabama-am,72,54,29,60,0.483,4,21,0.19,10,15,0.667,13,35,11,12,5,13,12,22,50,0.44,6,17,0.353,4,9,0.444,7,25,8,7,0,20,16,W
153,alabama-state,alabama-am,68,62,20,51,0.392,11,20,0.55,17,24,0.708,8,32,13,9,4,11,11,25,58,0.431,7,18,0.389,5,9,0.556,7,32,12,6,4,11,20,W
218,alcorn-state,alabama-birmingham,49,76,16,50,0.32,6,22,0.273,11,13,0.846,5,19,7,5,1,12,12,29,48,0.604,7,18,0.389,11,15,0.733,4,29,15,6,2,10,15,L
226,alcorn-state,alabama-state,59,74,19,56,0.339,5,22,0.227,16,17,0.941,10,28,8,7,3,16,16,28,57,0.491,7,22,0.318,11,16,0.688,8,30,12,11,4,13,17,L
233,alcorn-state,alabama-state,74,69,29,60,0.483,4,20,0.2,12,21,0.571,12,38,17,8,5,16,23,21,61,0.344,9,30,0.3,18,24,0.75,10,32,13,5,0,10,19,W
234,alcorn-state,alabama-am,61,55,21,49,0.429,6,14,0.429,13,24,0.542,17,38,10,8,3,17,13,21,50,0.42,2,13,0.154,11,15,0.733,7,25,9,11,3,11,18,W
272,appalachian-state,south-alabama,73,79,27,55,0.491,6,21,0.286,13,16,0.813,4,22,16,6,5,15,23,25,65,0.385,5,16,0.313,26,43,0.605,21,44,7,9,4,9,23,L
322,arizona,alabama,73,76,29,70,0.414,9,24,0.375,6,9,0.667,11,35,10,6,4,11,19,26,56,0.464,8,19,0.421,16,28,0.571,10,39,11,5,4,15,14,L
334,arizona,arizona-state,88,95,27,67,0.403,14,28,0.5,20,27,0.741,14,31,15,8,0,9,26,30,54,0.556,9,19,0.474,26,35,0.743,10,37,18,5,4,13,23,L
