Home_Team,Opponent,URL,HT_Pts,Opp_Pts,FG,FGA,FG_Pct,Three_Pt,Three_Pt_Attempts,Three_Pt_Pct,Free_Throws,Free_Throw_Attempts,Free_Throw_Pct,Offensive_Rebounds,Total_Rebounds,Assists,Steals,Blocks,Turnovers,Personal_Fouls
abilene-christian,Arlington Baptist,#N/A,107,54,41,66,0.621,11,23,0.478,14,21,0.667,13,38,26,13,6,11,20
abilene-christian,Arkansas State,arkansas-state,94,73,31,55,0.564,8,14,0.571,24,31,0.774,11,38,17,8,0,18,27
abilene-christian,Denver,denver,67,61,22,49,0.449,10,24,0.417,13,16,0.813,5,26,16,5,5,9,15
abilene-christian,Elon,elon,72,56,29,56,0.518,11,18,0.611,3,6,0.5,8,27,19,4,1,6,21
abilene-christian,Pacific,pacific,73,71,28,56,0.5,5,15,0.333,12,18,0.667,6,27,10,4,2,9,28
abilene-christian,UC-Riverside,california-riverside,60,48,22,53,0.415,4,10,0.4,12,19,0.632,14,32,10,6,1,6,15
abilene-christian,Howard Payne,#N/A,90,53,37,61,0.607,6,20,0.3,10,18,0.556,10,28,21,19,3,16,15
abilene-christian,Pepperdine,pepperdine,62,77,25,62,0.403,4,18,0.222,8,13,0.615,8,29,13,9,1,11,24
abilene-christian,Campbell,campbell,83,68,27,48,0.563,7,14,0.5,22,26,0.846,3,18,11,14,0,10,23
abilene-christian,Schreiner,#N/A,93,53,32,55,0.582,11,21,0.524,18,24,0.75,10,32,22,10,4,17,20
abilene-christian,Texas Tech,texas-tech,48,82,15,53,0.283,5,21,0.238,13,22,0.591,8,25,9,4,3,7,25
abilene-christian,Southeast Missouri State,southeast-missouri-state,70,68,23,50,0.46,4,15,0.267,20,28,0.714,5,28,12,9,5,14,16
abilene-christian,McMurry,#N/A,88,40,35,74,0.473,8,25,0.32,10,16,0.625,22,53,22,14,3,14,9
abilene-christian,New Orleans,new-orleans,68,58,24,53,0.453,8,17,0.471,12,16,0.75,9,32,12,11,4,17,20
abilene-christian,Sam Houston State,sam-houston-state,68,71,22,50,0.44,10,14,0.714,14,16,0.875,9,27,14,11,2,18,17
abilene-christian,McNeese State,mcneese-state,73,72,26,52,0.5,10,22,0.455,11,19,0.579,6,29,22,3,2,7,16
abilene-christian,Southeastern Louisiana,southeastern-louisiana,75,72,27,56,0.482,6,13,0.462,15,20,0.75,8,25,10,7,3,8,26
abilene-christian,Houston Baptist,houston-baptist,75,68,28,58,0.483,6,20,0.3,13,21,0.619,10,27,18,10,2,12,18
abilene-christian,Northwestern State,northwestern-state,78,69,28,61,0.459,8,20,0.4,14,20,0.7,9,37,18,3,5,11,18
abilene-christian,Stephen F. Austin,stephen-f-austin,60,61,23,52,0.442,6,17,0.353,8,10,0.8,9,30,12,11,4,24,15
abilene-christian,Central Arkansas,central-arkansas,79,56,28,60,0.467,6,20,0.3,17,24,0.708,10,35,18,10,6,12,21
